I63.511,I10,I63.112,I63.323,E11.3319,E11.37X2,I63.542,I63.432,E11.3411,I63.033,E11.311,I63.111,E11.630,E11.51,E11.3553,I63.40,E11.42,H04.532,A33,I63.09,I63.321,H04.531,I63.523,E11.3491,I63.532,I63.541,E11.620,I63.531,E11.29,C34.90
I63.511,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I10,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I63.112,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
I63.323,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
E11.3319,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
E11.37X2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
I63.542,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
I63.432,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
E11.3411,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
I63.033,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
E11.311,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
I63.111,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
E11.630,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
E11.51,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
E11.3553,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
I63.40,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
E11.42,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,
H04.532,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,
A33,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
I63.09,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
I63.321,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
H04.531,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
I63.523,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
E11.3491,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
I63.532,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
I63.541,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
E11.620,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
I63.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
E11.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
C34.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
